code,priority,meaning,causes,actions
170*†,MED,No blood temperature measurement detected,Blood gas analyzer not operational Blood gas analysis sensor is faulty,"Check that blood gas analyzer (BGA) is in 'Operate' mode and that data displayed on BGA matches data on the OrganOx metra GUI. If not, power the OrganOx metra down and restart as per IFU. Contact your Clinical Specialist if problem persists. If problem persists, stop perfusion and remove liver from device using cold perfusion It is the surgeon’s discretion whether to transplant this organ. Contact your Clinical Specialist."
180*‡,LOW,interface board (IFB) timeout / no replies / IFB cyclic redundancy check (CRC) error,Hardware fault,"Fault will normally self-resolve. Check the following on the OrganOx metra GUI over a period of 5 minutes to ensure that it has: 1) Temperature is controlled to >36C; 2) pO and pCO values remain 2 2 within the normal range indicated; 3) Centrifugal pump target RPM and actual RPM are within 100 RPM and IVC ﬂow is non-zero. If this is not the case, power down and restart the OrganOx metra as per IFU. If error still persists with liver on board, stop perfusion and remove liver from device using cold perfusion. It is the surgeon’s discretion whether to transplant this organ. Contact your Clinical Specialist"
190*‡,MED,Terumo timeout / no replies Terumo CRC error,Blood gas analyzer not operational Hardware fault,"Check that blood gas analyzer (BGA) is in 'Operate' mode and that data displayed on BGA matches data on the OrganOx metra GUI. If not, power the OrganOx metra down and restart as per IFU. Contact your Clinical Specialist if problem persists. Attempt to power down and restart the OrganOx metra as per IFU. If problem persists, stop perfusion and remove liver from device using cold perfusion. It is the surgeon’s discretion whether to transplant this organ. Contact your Clinical Specialist."
200*‡,MED,Centrifugal Pump Error,Hardware fault,"Attempt to power down and restart the OrganOx metra as per IFU. If problem persists, stop perfusion and remove liver from device using cold perfusion. It is the surgeon’s discretion whether to transplant this organ. Contact your Clinical Specialist."
210*‡,MED,Air compressor error,Hardware fault,"Attempt to power down and restart the metra as per IFU. If problem persists, stop perfusion and remove liver from device using cold perfusion. It is the surgeon’s discretion whether to transplant this organ. Contact your Clinical Specialist."
220*‡,MED,Upper proportional pinch valve error,Hardware fault,"Attempt to power down and restart the OrganOx metra as per IFU. If problem persists, stop perfusion and remove liver from device using cold perfusion. It is the surgeon’s discretion whether to transplant this organ. Contact your Clinical Specialist."
230*‡,MED,Lower proportional pinch valve error,Hardware fault,"Attempt to power down and restart the OrganOx metra. If problem persists, stop perfusion and remove liver from device using cold perfusion. It is the surgeon’s discretion whether to transplant this organ. Contact your Clinical Specialist."
240‡,MED,Portal ﬂow sensor error: system cannot detect air bubbles,Hardware fault,"Attempt to power down and restart the OrganOx metra. If problem persists, stop perfusion and remove liver from device using cold perfusion. Contact your Clinical Specialist. It is the surgeon’s discretion whether to transplant this organ."
250‡,MED,IVC ﬂow sensor error,Hardware fault,"Attempt to power down and restart the OrganOx metra. If problem persists, stop perfusion and remove liver from device using cold perfusion. It is the surgeon’s discretion whether to transplant this organ. Contact your Clinical Specialist."
260,MED,Battery monitor error - no battery level available,Hardware fault,Urgently connect device to an external power supply (note - no warning will be given of empty battery). Contact your Clinical Specialist.
270,MED,Syringes need replacement,Occluded tubing,"Check all four syringe lines for occlusions. If problem persists, contact your Clinical Specialist."
280,MED,High water temperature,Water not circulating through heater and oxygenator Blood gas analyzer providing erroneous blood temperature information. Ambient temperature too high,"Check that both water inlet and outlet connects to oxygenator are fully engaged and have no kinks. Contact your Clinical Specialist if problem persists. Check installation of blood gas analyzer (BGA) sensor. Check that BGA is in 'Operate' mode and that data displayed on BGA matches data on the OrganOx metra GUI. If not, power the OrganOx metra down and restart as per IFU. Contact your Clinical Specialist if problem persists. Move device to a cooler environment."
290†,MED,Low water reservoir,Not enough water in reservoir System tilted to expose level sensor Possible leak in water circulation system,Check and re-ﬁll water reservoir Level the system as soon as practicable Check for leaks and re-ﬁll water reservoir as necessary. Contact your Clinical Specialist if problem persists.
300,LOW,Ascites pump running continuously,Excessive ﬂuid leakage from liver Malfunction of ascites recirculation system.,Check surgical integrity of liver and take necessary action. Check ascites level sensorCorrect ﬁtting of ascites recirculation line through pump. Contact your Clinical Specialist if problem persists.
310,MED,Ascites pump never running,Malfunction of ascites recirculation system. Hardware fault,"Check whether ﬂuid has accumulated in liver bowl, and if so check ascites level sensor. Contact your Clinical Specialist if problem persists. Contact your Clinical Specialist."
320,MED,No water temperature measurement detected,Hardware fault,"Attempt to power down and restart the OrganOx metra. Check that blood temperature remains physiological. If not, stop perfusion and remove liver from device using cold perfusion. It is the surgeon’s discretion whether to transplant this organ. Contact your Clinical Specialist."
330*,MED,Frequently empty blood reservoir,Excessive ﬂuid in liver bowl,"Check surgical integrity of liver and take necessary action. Check that IVC drainage is occurring and reposition cannula if necessary. Check functioning of ascites recirculation system. If issue persists, add human albumin to replenish reservoir."
340†,MED,Clinimix® pump error,Hardware fault,"Attempt to power down and restart the OrganOx metra. If problem persists and liver already on board, deliver nutrition manually as per the IFU. Contact your Clinical Specialist."
350†,MED,Bile pinch valve error,Hardware fault,"Attempt to power down and restart the OrganOx metra. If problem persists and liver already on board, remove bile tubing from bile pinch valve - bile will now drain freely into bile collection compartment and bile production will no longer be automatically measured. Contact your Clinical Specialist."
360,MED,Excessive blood/water temperature diﬀerence.,Blood gas analyzer providing erroneous blood temperature information. Or the Terumo sensor is not fully engaged.,"Check installation of blood gas analyzer (BGA) sensor. Check that the Terumo sensor is correctly ﬁtted and is clicked into place. Check that BGA is in 'Operate' mode and that data displayed on BGA matches data on the OrganOx metra GUI. If not, power the OrganOx metra down and restart as per IFU. If the problem persists remove the liver using the rapid retrieval technique and contact your Clinical Specialist if problem persists."
370,MED,Low portal vein ﬂow,"Portal tubing kinked, Roberts clamp not open, or poor cannula placement. Empty reservoir Lower pinch valve malfunction","Re-wet portal ﬂow sensor. Ensure Roberts clamp on portal line within liver bowl is fully open and check portal line for kinks. If issue persists, reposition liver and portal cannula. Check whether ﬂuid has accumulated in liver bowl, and if so check ascites level sensor and pump. Add human albumin solution to replenish reservoir if appropriate. Contact your Clinical Specialist if problem persists. Press 'Stop Perfusion', then 'Remove Cartridge' twice to fully open pinch valve, then ‘Start Perfusion'. If problem persists, power down and restart the OrganOx metra as per IFU. If problem still persists with liver on board, stop perfusion and remove liver from device using cold perfusion. It is the surgeon’s discretion whether to transplant this organ. Contact your Clinical Specialist"
380,MED,Low IVC ﬂow,"IVC tubing kinked, Roberts clamp not open, or poor cannula placement.","Ensure Roberts clamp on IVC line within liver bowl is fully open and check IVC line for kinks. If issue persists, reposition liver and IVC cannula."
390,MED,Low hepatic artery ﬂow,"Arterial tubing kinked, Roberts clamp not open, or poor cannula placement. Upper pinch valve malfunction Hardware fault","Ensure Roberts clamp on arterial line within liver bowl is fully open and check arterial line for kinks. If issue persists, reposition liver and arterial cannula. Press 'Stop Perfusion', then 'Remove Cartridge' twice to fully open pinch valve, then 'Start Perfusion'. If problem persists, power down and restart the OrganOx metra as per IFU. If problem persists with liver on board, stop perfusion and remove liver using cold perfusion. It is the surgeon’s discretion whether to transplant this organ. Press 'Stop Perfusion', then 'Start Perfusion'. If problem persists, power down and restart the OrganOx metra as per IFU. If problem still persists with liver on board, stop perfusion and remove liver using cold perfusion. It is the surgeon’s discretion whether to transplant this organ. Contact your Clinical Specialist."
400,MED,Low blood temperature,Water not circulating through heater and oxygenator,Check that both water inlet and outlet connections to the oxygenator are fully engaged and have no kinks. Contact your Clinical Specialist if problem persists.
410*,MED,Low blood oxygen levels,Oxygenator gas port not connected Blood not circulating through blood gas analyzer bypass line Hardware fault,"Check that gas line into oxygenator is fully engaged and has no kinks. Contact your Clinical Specialist if problem persists. Check that the Roberts clamps on the blood gas analyzer bypass line are fully open, that the Terumo sensor is connected and that there are no kinks or obstructions on the line. Attempt to power down and restart the OrganOx metra. If problem persists, stop perfusion and remove liver from device using cold perfusion. It is the surgeon’s discretion whether to transplant this organ. Contact your Clinical Specialist."
430,MED,Unable to determine power source,Hardware fault,Urgently connect device to an external power supply (note - no warning will be given of empty battery). Contact your Clinical Specialist.
450,LOW,Measured blood temperature > 38°C,Ambient temperature t oo high Blood gas analyzer not operational,"Remove the OrganOx metra cover and/or move device to a cooler environment as soon as possible. Check that blood gas analyzer (BGA) is in 'Operate' mode and that data displayed on BGA matches data on the OrganOx metra GUI. If not, power the OrganOx metra down and restart as per IFU. Contact your Clinical Specialist if problem persists."
460,LOW,Measured tower temperature < 5°C,Ambient temperature too low,Move device to a warmer environment as soon as possible. Contact your Clinical Specialist if problem persists.
470,LOW,Oxygen Concentrator Failure,Hardware fault,"Stop perfusion and attempt to power down and restart the OrganOx metra. If problem persists, stop perfusion and remove liver from device using cold perfusion. Contact your Clinical Specialist if problem persists."
480,LOW,High blood oxygen levels measured continuously for more than 3 minutes,Blood not circulating through BGA bypass line,Contact your Clinical Specialist if problem persists.
490,LOW,High blood carbon dioxide levels measured continuously for more than 3 minutes,No gas ﬂow into oxygenator,"Check that the oxygenator gas inlet Colder Products Company (CPC) connector is fully engaged into the male panel mount CPC connector just above the portal ﬂow sensor. Check that the BGA sensor is correctly ﬁtted and is clicked in place. Check that the Roberts clamps on the BGA bypass line are fully open. Check that BGA is in ‘Operate’ mode and that data displayed on BGA matches data on the OrganOx metra GUI. Attempt to power down and restart the OrganOx metra. If problem persists, stop perfusion and remove liver from device using cold perfusion. Contact your Clinical Specialist if problem persists."
500,LOW,Low blood carbon dioxide levels measured continuously for more than 3 minutes,Blood not circulating through BGA bypass line BGA not operational Hardware fault,"Check that the Roberts clamps on the BGA bypass line are fully open, that the Terumo sensor is connected and that there are no kinks or obstructions on the line. Check that the BGA sensor is correctly ﬁtted and is clicked in place. Check that BGA is in ‘Operate’ mode and that data displayed on BGA matches data on the OrganOx metra GUI. If not, power the OrganOx metra down and restart as per IFU. If problem persists, stop perfusion and remove liver from device using cold perfusion. Contact your Clinical Specialist if problem persists."
510,LOW,Arterial blood pressure in excess of 100 mmHg for more than 3 minutes,"Arterial tubing kinked, Roberts clamp not open, or poor cannula placement Upper pinch valve malfunction Hardware fault","Press ‘Stop Perfusion’ and then ‘Start Perfusion’. If problem persists, power down and restart the OrganOx metra as per IFU. If problem persists, stop perfusion and remove liver from device using cold perfusion. Contact your Clinical Specialist if problem persists."
520,LOW,Power Board Fault,Hardware fault,"Attempt to power down and restart the OrganOx metra. If problem persists, stop perfusion and remove liver from device using cold perfusion, it is at the discretion of the transplanting surgeon if this organ is transplanted. Contact your Clinical Specialist if problem persists."
10xx*,LOW,Internal software fault,An unexpected software condition has occurred,"Re-start system (stop, switch oﬀ and on, start). Report failure to OrganOx, and provide log ﬁles for analysis"
2060,LOW,Critical fault reported,Measured blood temperature exceeded 41°C for more than 10 minutes at some point during the perfusion,Refer to 'Plot Data Logs' tab for detailed perfusion history.
2080,LOW,Critical fault reported,Low battery potentially led to temperature control and oxygenation being shut down,Refer to 'Plot Data Logs' tab for detailed perfusion history.
2090,LOW,Critical fault reported,Empty battery led to system stopping,Refer to 'Plot Data Logs' tab for detailed perfusion history.
2140,LOW,Critical fault reported,No IVC pressure measurement was detected for more than 10s at some point during the perfusion,Refer to 'Plot Data Logs' tab for detailed perfusion history.
2150,LOW,Critical fault reported,No arterial pressure measurement was detected for more than 10s at some point during the perfusion,Refer to 'Plot Data Logs' tab for detailed perfusion history.
2170,LOW,Critical fault reported,No blood temperature measurement was detected for more than 10s at some point during the perfusion.,Refer to 'Plot Data Logs' tab for detailed perfusion history.
2180,LOW,Critical fault reported,An Interface Board (IFB) error occurred for more than 5s at some point during the perfusion.,Refer to 'Plot Data Logs' tab for detailed perfusion history.
2190,LOW,Critical fault reported,No measurements could be retrieved from the Terumo blood gas analyzer for more than 5s at some point during the perfusion,Refer to 'Plot Data Logs' tab for detailed perfusion history.
2200,LOW,Critical fault reported,A Centrifugal pump error occurred at some point during the perfusion,Refer to 'Plot Data Logs' tab for detailed perfusion history.
2210,LOW,Critical fault reported,An air compressor error occurred at some point during the perfusion,Refer to 'Plot Data Logs' tab for detailed perfusion history.
2220,LOW,Critical fault reported,An upper proportional pinch valve error occurred at some point during the perfusion,Refer to 'Plot Data Logs' tab for detailed perfusion history.
2230,LOW,Critical fault reported,A lower proportional pinch valve error occurred at some point during the perfusion,Refer to 'Plot Data Logs' tab for detailed perfusion history.
2330,LOW,Critical fault reported,The reservoir was frequently empty over the course of 30 minutes or more at some point during the perfusion,Refer to 'Plot Data Logs' tab for detailed perfusion history.
2410,LOW,Critical fault reported,Low blood oxygen levels were measured continuously for several minutes at some point during the perfusion.,Refer to 'Plot Data Logs' tab for detailed perfusion history.
